Time_hr,Choke_pct,Target_Q,Actual_Q,WHP_psi,FLP_psi,BHP_psi,Feasible_Candidates
1,10.0,130.0,36.471595893364444,297.6241116244006,206.66767159463828,3276.1244911220924,0
2,10.0,130.0,38.01898311828408,298.1630743195471,207.2689176519947,3279.40659470541,0
3,10.0,130.0,38.08524860233649,300.539416480997,206.9394067459061,3274.4953415104737,0
4,10.0,130.0,38.327424671553516,298.03606791164054,207.26815951315027,3276.9234411661646,0
5,10.0,130.0,37.884534153451305,298.36961157935065,207.5434323430437,3276.609630452917,0
6,10.0,130.0,37.68976178655703,298.76416677204946,206.99124662054714,3278.1695510922154,0
7,10.0,130.0,38.36261013356431,299.7037122362448,208.27871735280084,3275.8539738499694,0
8,10.0,130.0,37.62262986103028,298.21019975873793,207.05818281016485,3280.460135777286,0
9,10.0,130.0,37.941266078163615,298.17853926028033,205.90581429955148,3279.0249972625975,0
10,15.0,130.0,41.60139134756319,298.3543021895391,205.14561500764157,3270.773507611212,1
11,20.0,130.0,46.20432700303241,295.37477569399914,204.79046939336902,3258.4893712697767,9
12,25.0,130.0,53.20398961476105,291.8011102348149,202.19546458304842,3243.5829771004696,11
13,30.0,130.0,58.93789371947848,287.3847375261576,199.03665691336028,3220.8825715469034,11
14,35.0,130.0,67.62025509878406,285.42978721424527,195.88452870387624,3205.7989647716536,11
15,40.0,130.0,74.34658998895193,278.79364993753086,193.6353910278482,3183.1462646580917,11
16,45.0,130.0,84.47465354019079,274.15920627863153,189.85728538093295,3151.309681352838,11
17,50.0,130.0,93.07473429488196,266.7300066667955,185.4169004189522,3120.6363573888566,11
18,55.0,130.0,100.2651921258633,261.28613910770736,182.58386858262662,3098.0098145011157,11
19,57.0,130.0,108.33739870543454,255.2096519017062,179.37630572338998,3069.359335712767,11
20,55.0,130.0,114.703991767758,250.1194526874413,175.98855729752643,3050.7873134782144,11
21,54.0,130.0,117.69681383073716,248.38854573517204,173.95771737965975,3038.065273102651,11
22,53.0,130.0,122.24354092253962,246.02950231349018,173.45781462603617,3027.332923986391,11
23,51.0,130.0,123.46905690096462,243.95184786285068,170.80373558449713,3016.487654087847,11
24,51.0,130.0,124.34503901654726,241.66680179805655,171.84144145516657,3012.545685515975,11
25,51.0,130.0,126.40695616351096,243.45318513745568,170.71918856949307,3012.916902683665,11
26,50.0,130.0,126.68625825970307,241.07606651426207,170.01342128142656,3006.7655909782798,11
27,50.0,130.0,128.697886684098,238.78188640630552,170.93204685944403,3006.1038393949952,11
28,50.0,130.0,128.035408168041,238.7363004466949,170.48752794663108,3001.8437033258297,11
29,50.0,130.0,129.0940255312264,240.1841358418241,171.58460322980437,3001.110670397996,11
30,49.0,130.0,128.06476911251255,240.34598632577232,170.5684142091957,3005.424941511439,11
31,50.0,130.0,129.88122829284364,240.30720525609044,171.44319577672798,2996.5555560596263,11
32,49.0,130.0,128.62168731863358,238.79057680342314,170.05549403682258,2995.819835323127,11
33,50.0,130.0,129.92587842089046,239.42530477170357,169.07537876870447,2995.930944016196,11
34,49.0,130.0,129.55182697276868,240.7551270074482,171.94791832916218,3007.7547189409297,11
35,49.0,130.0,129.53696336528293,238.60892707976353,168.72554960338044,2999.8452901669093,11
36,49.0,130.0,128.47682859469126,239.33642257212082,170.00754229009874,2998.643546156021,11
37,50.0,130.0,130.2653780527102,239.82507045938573,170.2314509246138,2995.1469825243953,11
38,49.0,130.0,127.95704178098217,239.12048083996845,170.3945673015447,3003.724375154117,11
39,50.0,130.0,129.6556756784809,240.70880882853297,169.91010435856106,2994.1707581815035,11
40,49.0,130.0,128.63838547499088,238.74610055225534,172.10040036557,2995.5238454600385,11
41,50.0,130.0,130.31532953604517,238.37422371631885,171.0220755926071,2998.526275898953,11
42,49.0,130.0,129.36137775410435,239.508684141403,169.84700256050746,2999.036255113175,11
43,49.0,130.0,128.9934645560361,238.16863303668765,169.4254560667929,2998.4832124228033,11
44,49.0,130.0,130.51491425858512,239.89828995484072,170.41591596280378,2999.0418640108655,11
45,49.0,130.0,130.20981267473067,240.02436491029957,170.23368165835564,3001.682502113608,11
46,49.0,130.0,129.4370898098449,241.64888436674127,170.7512548955474,2994.836986696183,11
47,49.0,130.0,127.9414874927986,241.82382818180537,172.0181863047057,2998.091991282092,11
48,50.0,130.0,129.03140309675115,241.3967833191816,169.58900985135486,2995.2133120053713,11
49,49.0,130.0,129.75033876042326,239.23579516385843,170.52870408539226,2997.6384195508635,11
50,49.0,130.0,129.42200076096836,241.4525577675175,170.6528829400628,3000.24990035738,11
