Time_hr,Choke_pct,Target_Q,Actual_Q,WHP_psi,FLP_psi,BHP_psi,Feasible_Candidates
1,35.0,250.0,94.82052279093713,269.9221910264903,186.9150886883663,3133.634042917017,11
2,40.0,250.0,99.09799428179149,268.82463324034273,185.72581047725257,3128.2571818479737,11
3,45.0,250.0,102.42843500208197,262.4069334122019,183.33681335059163,3101.4309546565555,11
4,50.0,250.0,106.78266043965667,258.51017436595185,181.90272004287317,3090.8621384812363,11
5,55.0,250.0,112.26178442864035,254.5949007333074,177.3984345828645,3065.9752682139997,11
6,60.0,250.0,119.61682045071882,246.61131029862736,175.6508464293327,3038.1369269658458,11
7,65.0,250.0,125.84714655323572,241.79143863805254,170.82679158058392,3012.7360997379988,11
8,70.0,250.0,132.63034269581166,237.45151134646684,167.82220367657544,2983.6047770571913,11
9,75.0,250.0,138.8409738720543,229.06701767897042,164.3255461810437,2943.830326832094,11
10,80.0,250.0,145.96787917334996,224.98401551725559,159.1121484694191,2908.7426833518434,11
11,85.0,250.0,152.12577008505218,220.68539876946028,154.87600176899198,2869.4376097740005,11
12,90.0,250.0,156.4550254964102,210.87876810864645,150.57853455203377,2828.9367423045014,11
13,94.0,250.0,160.30761614218932,204.8792256421412,144.62549397848372,2783.6029421890717,10
14,91.0,250.0,162.56541079114228,201.04415254353256,142.59048409699435,2768.4053267482655,3
15,91.0,250.0,167.130113124828,196.93203352936087,140.58797269761553,2739.079785362577,6
16,90.0,250.0,168.20453393477973,195.65415921637378,138.9270662386233,2722.6619169550722,5
17,89.0,250.0,170.97440829627465,192.1072728821297,137.08056678299468,2719.499692385163,5
18,88.0,250.0,171.58311030080185,193.81886859959326,136.21990846036942,2705.2866571309064,5
19,87.0,250.0,172.30085883368562,190.98910590521308,134.94443297380167,2699.7976802459702,5
20,86.0,250.0,172.32493698774493,191.47615476054074,136.14441365677317,2697.1319790170223,5
21,87.0,250.0,173.42850026829112,190.57447986074865,134.60836855969652,2695.1631603928713,7
22,85.0,250.0,172.50021956080175,189.54879671410163,133.28213212153204,2688.1665088725795,4
23,80.0,250.0,174.70017770758753,192.12214994172925,135.22824198935936,2696.726973244751,1
24,85.0,250.0,171.55408551208652,190.13296816466448,137.5876955433097,2701.2250068174612,11
25,88.0,250.0,174.07011535689486,190.4527273061058,133.73194497092604,2693.002535397765,9
26,88.0,250.0,175.08209666273876,189.06220456719194,135.06427323175234,2689.994893670135,0
27,87.0,250.0,175.82663152622803,187.9658131911326,134.8820955911794,2691.453735266868,5
28,86.0,250.0,174.64177028582787,187.6458433252593,135.19516975394538,2685.6828290243193,5
29,87.0,250.0,176.75510828980165,187.88874714674247,135.0780963943977,2684.747454495457,7
30,87.0,250.0,176.0139746564395,190.05896509245042,133.45067771575984,2679.970878800433,6
31,87.0,250.0,175.5920968268072,188.52884794717363,132.34505566032612,2683.4304596326815,0
32,87.0,250.0,175.63746533863656,189.2035600944526,131.56564188717792,2678.113486915953,0
33,87.0,250.0,174.81553673541325,186.7038253567137,133.58370837708915,2679.080043153222,0
34,87.0,250.0,176.0407947312623,187.39711996316169,133.4701183599664,2675.891722501662,0
35,87.0,250.0,176.87348063546509,188.29560668021708,133.5514396631876,2680.0134981569404,0
36,87.0,250.0,176.59794684350285,189.87066471520131,133.12133647344766,2676.9531611064785,0
37,87.0,250.0,175.80122879420094,186.13105149186555,132.15253493330403,2674.823635321696,0
38,87.0,250.0,176.38290717375656,187.7227712498386,133.15390291375562,2674.878714836598,0
39,87.0,250.0,177.18858270705041,188.1694907433828,132.95651426175215,2674.9589122694156,0
40,87.0,250.0,176.9309071381228,187.47548819890127,131.90218738451438,2676.502765797883,0
